production_companies,count
TV5 Monde,168
Maverick Entertainment Group,167
Pixar,167
Lubin Manufacturing Company,166
Orion Pictures,166
Gainsborough Pictures,166
Uzbekfilm,165
Film School of the Aristotle University of Thessaloniki,165
HBO Films,165
Lighthouse Pictures,165
Scottish Screen,164
PROCIREP,164
Blumhouse Productions,163
La Sept Cinéma,163
King Records,163
M6 Films,162
Deutsche Grammophon,162
Van Beuren Studios,161
Motion Picture Corporation of America,161
Movistar+,161
PWSFTviT,161
Working Title Films,160
Raphaela Film,160
Vivamax,159
Thirteen,159
uMedia,159
Zuffa,159
Channel 5,159
Paramount Television Studios,158
Allied Artists Pictures,158
Antenne 2,158
DAZN,158
Granada Television,157
Sverdlovsk Film Studio,156
Morgane Production,156
Nickelodeon Productions,156
Discovery Channel,155
SRG SSR,154
Comedy Dynamics,154
Norsk Film,153
BBC Studios,152
Les Films d'ici,152
The Metropolitan Opera,151
Le Fresnoy,151
Summit Entertainment,151
Starvision Plus,150
Disney Branded Television,149
Total Nonstop Action (TNA),149
Lisa Film,149
Palladium,148
NFTS,148
Madhouse,148
Kokuei Company,148
Studio populárně vědeckých a naučných filmů Praha,148
MTV,148
National Film Development Corporation of India,147
Cinemalaya Foundation,147
Muse Entertainment,147
The Rank Organisation,147
La Fondation Gérard Courant,147
DreamWorks Pictures,146
Warner Bros. Entertainment,146
Shogakukan,145
GCN+,144
Lux Film,144
Universidad Nacional Autónoma de México,144
Troma Entertainment,144
Erler Film,144
Latvijas Kultūras akadēmija,142
China Film Group Corporation,142
LWT,142
EuroArts,142
MK2 Films,142
RSI,141
Showbox,141
Korean Academy of Film Arts,141
RTÉ,141
World Championship Wrestling (WCW),141
Gaumont-British Picture Corporation,141
Millennium Media,140
Dimension Films,140
Bluebird Photoplays,140
Larry Levinson Productions,139
Folimage,139
Golan-Globus Productions,138
Lucasfilm Ltd.,138
Italian International Film,138
Mauricio de Sousa Produções,137
Relativity Media,137
Viba Film,137
Universidad del Cine,136
National Theatre,136
Mongolkino,135
Shanghai Film Studio,135
Royal College of Art,135
WWE Home Video,134
Ingenious Media,134
August 1st Film Studio,133
MGM Television,133
Auvergne-Rhône-Alpes Cinéma,132
Stoll Picture Productions,132
W.A.V.E. Productions,132
Columbia Pictures Television,131
Star-Film,131
Thames Television,131
RMC Découverte,131
NextUp,131
Aniplex,131
Ealing Studios,130
Avex Entertainment,130
VAP,130
Coronet Instructional Films,130
DreamWorks Animation,130
Nickelodeon Animation Studio,129
3sat,129
PolyGram Filmed Entertainment,129
ICAA,129
Nu Image,128
Société Lumière,128
Lantis,128
Studioul Cinematografic București,127
Duke Video,127
New Zealand Film Commission,127
La Sept-Arte,127
The Cartel,127
Hybrid,126
Slovenská filmová tvorba Bratislava,126
Champlain Media,126
EuropaCorp,126
Tsuburaya Productions,126
Films A2,126
Štúdio hraných filmov Bratislava,125
New World Pictures,125
Ltd,125
Associated British Picture Corporation,125
Rapi Films,125
Reteitalia,124
Lions Gate Films,124
BNNVARA,124
Australian Film Finance Corporation,124
Star Film Company,123
Australian Film Commission,123
Fox Searchlight Pictures,123
Extreme Championship Wrestling (ECW),123
Village Roadshow Pictures,123
ITC Entertainment,123
UK Film Council,123
VARA,122
Reeltime Pictures,122
American Film Manufacturing Company,122
RTL,122
Goldwyn Pictures Corporation,122
SCOPE Pictures,121
COI,121
ENERC,120
Tornasol Films,120
Films Division of India,120
Crown International Pictures,120
Full Moon Features,120
Instituto Superior de Cine y Artes Audiovisuales de Santa Fe,120
British Mutoscope and Biograph Company,120
Les Films du Losange,119
SVT Drama,119
Vision Distribution,119
Takeshobo,119
The Weinstein Company,118
Image Entertainment,118
Estudios Churubusco Azteca,118
Comedy Central,118
TMS Entertainment,118
T-Series,117
Viacom Productions,117
University of Southern California,117
Cinema One Originals,117
DC Comics,117
Regency Enterprises,116
Films of Scotland Committee,116
Sony BMG Music Entertainment,116
Amblin Entertainment,115
Reliance Entertainment,115
Cinema Service,115
Se-Ma-For,115
Fandango,114
YOUKU,114
Rizzoli Film,114
Aardman,114
Central Partnership,114
Tantan-Sha Company,113
SM Entertainment,113
Film Victoria,113
SFP,112
DC Entertainment,112
TSR,112
Biograph Company,112
Karagiannis-Karatzopoulos,112
CinéCinéma,111
Head Gear Films,111
Solax Film Company,111
Süddeutscher Rundfunk,111
CBS Studios,110
TFC,110
Lithuanian Film Studio,110
Filmex,110
Red Bull Media House,109
Moldova-Film,109
British Lion Films,109
Pathé Exchange,109
Canal Brasil,109
"Studioul cinematografic „Bucureşti""",109
Phranakorn Film,109
Next Entertainment World,109
Artémis Productions,108
Incendo Productions,108
Toronto Metropolitan University,108
Escac Films,108
CineTel Films,108
Multishow,108
Blizzard Entertainment,108
GREC,107
Concorde-New Horizons,107
London Films Productions,107
Europa Film,107
Hearst Entertainment Productions,107
Aries Cinematográfica Argentina,106
Fondo para la Producción Cinematográfica de Calidad,106
Hallmark Hall of Fame Productions,106
BBC Music,106
WWE Studios,106
EiTB,106
Frontera Films,106
Shishi Production,106
MD Pictures,105
Kodansha,105
Tajikfilm,105
Unitel,105
Royal Opera House,105
Imagine Entertainment,105
Participant,104
