production_companies_list,faturamento_total,faturamento_media,faturamento_menor,faturamento_maior,count,budget_total,budget_media,budget_menor,budget_maior
Patalex IV Productions Limited,895921036,895921036.0,895921036,895921036,1,150000000,150000000.0,150000000,150000000
Amblin Partners,893205956,127600850.85714285,8119285,394638258,7,232000000,33142857.14285714,9000000,100000000
Wonderland Sound and Vision,892507538,127501076.85714285,27105095,371353001,7,462500000,66071428.571428575,8500000,200000000
October Media,892500000,446250000.0,150000000,742500000,2,30000000,15000000.0,10000000,20000000
Lynda Obst Productions,889498565,222374641.25,32406507,701729206,4,276500000,69125000.0,18500000,165000000
Avery Pix,885254146,98361571.77777778,31200557,288485135,9,349000000,38777777.777777776,22000000,85000000
Baltimore Pictures,879918150,97768683.33333333,23278931,214015089,9,420000000,46666666.666666664,15000000,80000000
Mike Zoss Productions,879342967,125620423.85714285,31430334,252276927,7,224000000,32000000.0,7000000,60000000
Aardman,878259523,146376587.16666666,53431158,224834564,6,359000000,59833333.333333336,25000000,149000000
Waverly Films,877465765,175493153.0,2900000,266728738,5,285225000,57045000.0,225000,85000000
River Road Entertainment,876104954,79645904.9090909,2312717,225973340,11,375000000,34090909.09090909,10000000,177200000
Parkes/MacDonald Productions,875683715,218920928.75,86387857,352114312,4,246000000,61500000.0,52000000,69000000
Fox International Productions,875495810,145915968.33333334,16861137,376141306,6,170451000,28408500.0,6500000,48000000
Monkeypaw Productions,873731171,145621861.83333334,20609977,256067149,6,147500000,24583333.333333332,4500000,68000000
Beijing Dongfang International Cultural Communications Company,870322670,870322670.0,870322670,870322670,1,29700000,29700000.0,29700000,29700000
Spring Era Film Company,870322670,870322670.0,870322670,870322670,1,29700000,29700000.0,29700000,29700000
Orange Image,870322670,870322670.0,870322670,870322670,1,29700000,29700000.0,29700000,29700000
Chao Feng Pictures,870322670,870322670.0,870322670,870322670,1,29700000,29700000.0,29700000,29700000
Beijing Century Media Culture,870322670,870322670.0,870322670,870322670,1,29700000,29700000.0,29700000,29700000
Contrafilm,867182398,96353599.77777778,3982459,355692760,9,384000000,42666666.666666664,3000000,80000000
G-BASE,866113133,108264141.625,31672678,205754447,8,352000000,44000000.0,25000000,70000000
Sidney Kimmel Entertainment,865761864,37641820.17391305,64648,110206216,23,475300000,20665217.391304348,4300000,65000000
Northern Lights Entertainment,862463682,123209097.42857143,35598376,250200000,7,378000000,54000000.0,15000000,85000000
The,857085820,122440831.42857143,3878993,403449830,7,418000000,59714285.71428572,8500000,160000000
Fuzzy Door Productions,851641921,283880640.3333333,86410000,549368315,3,158000000,52666666.666666664,40000000,68000000
Misher Films,847030226,84703022.6,6491240,214104620,10,486000000,48600000.0,8000000,100000000
FilmDistrict,838310135,59879295.35714286,303877,161000000,14,389500000,27821428.57142857,1500000,100000000
Offspring Entertainment,837357302,93039700.22222222,42045846,150816700,9,304000000,33777777.777777776,12000000,75000000
Wendy Finerman Productions,834223055,417111527.5,156835339,677387716,2,85000000,42500000.0,30000000,55000000
Black Label Media,833550078,83355007.8,3396345,447407695,10,346000000,34600000.0,8000000,90000000
Lawrence Bender Productions,832422903,69368575.25,351401,225933435,12,372400000,31033333.333333332,1000000,80000000
Dark Castle Entertainment,830760814,51922550.875,9489829,141591324,16,522000000,32625000.0,17000000,55000000
The Steve Tisch Company,830200665,207550166.25,28356188,677387716,4,125850000,31462500.0,1350000,65000000
Nu Boyana Film Studios,828977752,138162958.66666666,320705,314975955,6,340000000,56666666.666666664,10000000,100000000
Shueisha,828070861,118295837.28571428,29170410,503063688,7,90800000,12971428.57142857,1000000,20000000
October Pictures,827774427,206943606.75,143049560,303025485,4,539000000,134750000.0,95000000,209000000
Horgos Coloroom Pictures,827052250,413526125.0,84552250,742500000,2,24531653,12265826.5,4531653,20000000
Cinergi Pictures Entertainment,822889225,74808111.36363636,10382407,366101666,11,567000000,51545454.54545455,25000000,90000000
Beijing Big Bowl Entertainment Culture Media,822049668,822049668.0,822049668,822049668,1,59000000,59000000.0,59000000,59000000
Tianjin Maoyan Media,822049668,822049668.0,822049668,822049668,1,59000000,59000000.0,59000000,59000000
Beijing Jingxi Culture and Tourism,822049668,822049668.0,822049668,822049668,1,59000000,59000000.0,59000000,59000000
Shanghai Ruyi Film & TV Production,822049668,822049668.0,822049668,822049668,1,59000000,59000000.0,59000000,59000000
Beijing Cheering Times Culture & Entertainment,822049668,822049668.0,822049668,822049668,1,59000000,59000000.0,59000000,59000000
Closest to the Hole Productions,821983494,82198349.4,34737199,149295601,10,439000000,43900000.0,25000000,110000000
Tapestry Films,820051593,68337632.75,20543,288485135,12,225532673,18794389.416666668,532673,40000000
